Qtr_Num,Qtr_Date,FAF_Qtr_Rev,GDP,Tbill_3M,Cons_Conf,Indust_Prod,House_Starts,Pers_Consump,Cons_Credit,REIT_Mortg,Wil_REIT,Veh_Sales,Disp_Pers_Inc
1,1/1/2009,914293,15155.94,0.211803279,58.26666667,90.16783333,525.6666667,9756.10,2636.129817,54747,236.514918,9.585666667,11565.23333
2,4/1/2009,888375,15134.117,0.17031746,68.2,87.59843333,534.3333333,9760.20,2605.819733,52722,267.8903175,9.901333333,11689.56667
3,7/1/2009,1025085,15189.222,0.15984375,68.4,88.91463333,588.3333333,9895.37,2583.191793,48062,324.6990625,11.95166667,11557.33333
4,10/1/2009,1100581,15356.058,0.060483871,70.16666667,90.31013333,567.6666667,9957.10,2556.669553,45988,378.6939063,10.967,11554.4
5,1/1/2010,1032793,15415.145,0.109836066,73.86666667,92.08583333,618,10040.50,2536.69475,51485,410.9222951,10.99333333,11619.4
6,4/1/2010,908426,15557.277,0.14828125,73.93333333,93.89433333,602,10131.77,2524.289713,46022,459.3073016,11.694,11810.86667
7,7/1/2010,969924,15671.967,0.15484375,68.3,95.1207,579.6666667,10220.63,2521.207053,44798,466.6095313,11.96133333,11894.9
8,10/1/2010,1003523,15750.625,0.139516129,71.26666667,95.43636667,542.3333333,10350.50,2569.383173,44567,508.0204688,12.43966667,11961.53333
9,1/1/2011,1024740,15712.754,0.126774194,73.06666667,95.97203333,582.3333333,10485.37,2664.45661,56577,541.4827419,13.04866667,12083.46667
10,4/1/2011,931700,15825.096,0.045238095,71.86666667,96.35726667,574.3333333,10612.13,2685.72991,58680,573.6655556,12.49733333,12057.03333
11,7/1/2011,927343,15820.7,0.025,59.66666667,97.4839,619.3333333,10705.40,2715.665167,56614,550.3110938,12.89333333,12109.66667
12,10/1/2011,964965,16004.107,0.014754098,64.8,98.45103333,671.6666667,10761.60,2743.784977,56075,536.6096825,13.757,12147.3
13,1/1/2012,996566,16129.418,0.070645161,75.5,99.3893,707.3333333,10922.47,2778.13989,55535,603.7112903,14.65466667,12374.66667
14,4/1/2012,966763,16198.807,0.08828125,76.3,100.0219333,739.3333333,10964.87,2817.329327,58329,629.6980952,14.57733333,12487.23333
15,7/1/2012,1089833,16220.667,0.101587302,74.96666667,100.0321,780.3333333,11014.27,2855.40169,60046,662.3163492,14.641,12397.9
16,10/1/2012,1208402,16239.138,0.089672131,79.4,100.5566667,908,11125.70,2900.38333,64456,649.4790323,15.24933333,12741.26667
17,1/1/2013,1276823,16382.964,0.086333333,76.66666667,101.3437667,953.3333333,11223.17,2946.263893,63055,698.3375,15.79833333,12231.33333
18,4/1/2013,1146763,16403.18,0.0515625,81.66666667,101.7796333,868,11239.60,2986.27106,207541,739.1703125,15.948,12322.36667
19,7/1/2013,1288464,16531.685,0.0321875,81.56666667,102.1427,882.3333333,11330.93,3030.840637,207913,700.6967188,15.90166667,12375.9
20,10/1/2013,1300978,16663.649,0.06016129,76.93333333,102.8418,1009,11475.10,3077.33279,214736,695.6498438,15.88033333,12424.76667
21,1/1/2014,1219872,16616.54,0.049344262,80.93333333,103.6340667,934,11574.23,3126.864123,237281,721.9681967,16.19733333,12597.9
22,4/1/2014,1012799,16841.475,0.033015873,82.83333333,105.0201333,987,11756.90,3186.734427,237041,784.567619,17.116,12769.26667
23,7/1/2014,1149969,17047.098,0.02640625,82.96666667,105.6427,1030.666667,11915.33,3243.194537,241139,812.0278125,17.15833333,12918.33333
24,10/1/2014,1259730,17143.038,0.022580645,89.76666667,106.3358667,1049.333333,12044.53,3288.845127,247269,858.25875,16.961,13089.13333
25,1/1/2015,1255451,17305.752,0.024590164,95.5,105.5231667,977,12099.07,3324.547427,240705,941.5085246,17.225,13283.46667
26,4/1/2015,1111084,17422.845,0.01828125,94.23333333,104.1062667,1158,12255.53,3387.88291,241703,896.3225397,17.82533333,13321.43333
27,7/1/2015,1323789,17486.021,0.04203125,90.73333333,104.0877333,1166.666667,12389.30,3447.99738,230382,878.3975,18.316,13413.7
28,10/1/2015,1383915,17514.062,0.124193548,91.3,102.7285333,1125.333333,12446.00,3459.186423,217721,921.358125,18.015,13490.53333
29,1/1/2016,1356668,17613.264,0.288032787,91.56666667,102.1968333,1140,12551.67,3427.876143,227692,914.8288525,17.82666667,13594.16667
30,4/1/2016,1201712,17668.203,0.2575,92.4,101.6070667,1163,12707.50,3489.674083,225177,991.2890625,17.709,13585.23333
31,7/1/2016,1361533,17764.388,0.295625,90.33333333,102.0736333,1157.333333,12841.13,3546.603527,243207,1059.966719,17.95866667,13649.8
32,10/1/2016,1508344,17876.179,0.427213115,93.06666667,102.4091,1246,12979.50,3604.165647,227763,979.6134921,17.97166667,13734.83333
33,1/1/2017,1504257,17977.299,0.598225806,97.23333333,103.0091667,1224.666667,13153.20,3653.16026,223984,1016.644677,17.51366667,13880.7
34,4/1/2017,1317043,18054.052,0.894444444,96.36666667,104.4233,1172,13241.27,3699.428187,223346,1030.504921,17.21766667,14030.1
35,7/1/2017,1454429,18185.636,1.035873016,95.1,104.2134667,1181.333333,13370.90,3740.12442,222940,1041.496349,17.50166667,14125.4
36,10/1/2017,1519568,18359.432,1.206935484,98.36666667,106.1192333,1251.666667,13596.03,3795.45139,234824,1057.03746,17.971,14205.86667
37,1/1/2018,1481323,18530.483,1.559016393,98.93333333,106.7197667,1312.333333,13755.57,3837.56659,232877,984.9337705,17.59966667,14386.63333
38,4/1/2018,1297388,18654.383,1.840625,98.33333333,107.9189667,1264.333333,13939.87,3872.594783,231292,1014.739688,17.71766667,14513.6
39,7/1/2018,1491157,18752.355,2.036190476,98.06666667,109.2838333,1240.333333,14086.27,3929.78354,237453,1093.925397,17.50433333,14632.6
40,10/1/2018,1542186,18813.923,2.310819672,98.13333333,110.3249333,1176,14191.43,3982.82425,254977,1062.53127,17.97833333,14732.26667
41,1/1/2019,1417113,18950.347,2.388360656,94.46666667,109.7875667,1204,14276.60,4030.559243,264793,1116.076885,17.411,14853.56667
42,4/1/2019,1303581,19020.599,2.304920635,98.46666667,109.1642,1256.666667,14497.33,4075.592293,276042,1184.367937,17.58566667,14817.86667
43,7/1/2019,1498620,19141.744,1.98359375,93.8,109.4706667,1287.666667,14645.33,4125.632427,285248,1237.136563,17.59,14895.43333
44,10/1/2019,1671196,19253.959,1.576935484,97.2,109.5728333,1432.666667,14759.20,4163.76952,273475,1272.917813,17.33266667,14964.53333
45,1/1/2020,1725828,19010.848,1.081612903,96.63333333,107.6677333,1484.333333,14545.47,4199.186513,250336,1192.561935,15.44466667,15060.7
46,4/1/2020,1412943,17282.188,0.142222222,74.06666667,93.4855,1079,13097.37,4123.875987,247603,1009.837778,11.62966667,16575.93333
